algorithm,iterations,keygen_seconds,message_bytes,peak_rss_bytes,reason,repetition,sign_seconds,signature_bytes,status,verify_seconds
ML-DSA-65,1000,0.000097000,32,5570560,,10,0.415826000,3309,confirmed,0.073284000
ML-DSA-87,1000,0.000125000,32,5668864,,10,0.456163000,4627,confirmed,0.115566000
RSA-2048/SHA-256,1000,0.009338000,512,4866048,,1,0.339469000,256,confirmed,0.009910000
P-256/SHA-256,1000,0.000052000,512,5210112,,1,0.012904000,71,confirmed,0.034650000
Ed25519,1000,0.000033000,512,5308416,,1,0.017293000,64,confirmed,0.040938000
ML-DSA-44,1000,0.000067000,512,5570560,,1,0.248829000,2420,confirmed,0.048553000
ML-DSA-65,1000,0.000102000,512,5652480,,1,0.410646000,3309,confirmed,0.076757000
ML-DSA-87,1000,0.000133000,512,5799936,,1,0.466103000,4627,confirmed,0.118853000
RSA-2048/SHA-256,1000,0.021346000,512,4915200,,2,0.346773000,256,confirmed,0.009996000
P-256/SHA-256,1000,0.000053000,512,5259264,,2,0.012896000,70,confirmed,0.034534000
Ed25519,1000,0.000030000,512,5357568,,2,0.017372000,64,confirmed,0.041095000
ML-DSA-44,1000,0.000072000,512,5537792,,2,0.253096000,2420,confirmed,0.048480000
ML-DSA-65,1000,0.000099000,512,5586944,,2,0.394255000,3309,confirmed,0.073727000
ML-DSA-87,1000,0.000123000,512,5652480,,2,0.473957000,4627,confirmed,0.116429000
RSA-2048/SHA-256,1000,0.010249000,512,4915200,,3,0.339229000,256,confirmed,0.009888000
P-256/SHA-256,1000,0.000053000,512,5259264,,3,0.012753000,71,confirmed,0.034589000
Ed25519,1000,0.000032000,512,5357568,,3,0.017297000,64,confirmed,0.040766000
ML-DSA-44,1000,0.000068000,512,5521408,,3,0.248696000,2420,confirmed,0.048111000
ML-DSA-65,1000,0.000097000,512,5701632,,3,0.400321000,3309,confirmed,0.073612000
ML-DSA-87,1000,0.000121000,512,5767168,,3,0.464999000,4627,confirmed,0.116365000
RSA-2048/SHA-256,1000,0.032192000,512,4915200,,4,0.338791000,256,confirmed,0.009989000
P-256/SHA-256,1000,0.000052000,512,5259264,,4,0.012830000,71,confirmed,0.034336000
Ed25519,1000,0.000031000,512,5357568,,4,0.017574000,64,confirmed,0.040638000
ML-DSA-44,1000,0.000074000,512,5521408,,4,0.246949000,2420,confirmed,0.048328000
ML-DSA-65,1000,0.000099000,512,5586944,,4,0.395794000,3309,confirmed,0.073878000
ML-DSA-87,1000,0.000121000,512,5652480,,4,0.483415000,4627,confirmed,0.116345000
RSA-2048/SHA-256,1000,0.025183000,512,4915200,,5,0.339152000,256,confirmed,0.010007000
P-256/SHA-256,1000,0.000052000,512,5259264,,5,0.012973000,72,confirmed,0.034449000
Ed25519,1000,0.000033000,512,5357568,,5,0.016889000,64,confirmed,0.040385000
ML-DSA-44,1000,0.000074000,512,5521408,,5,0.239081000,2420,confirmed,0.048174000
ML-DSA-65,1000,0.000110000,512,5586944,,5,0.401464000,3309,confirmed,0.073985000
ML-DSA-87,1000,0.000119000,512,5652480,,5,0.468645000,4627,confirmed,0.116239000
RSA-2048/SHA-256,1000,0.023415000,512,4898816,,6,0.339980000,256,confirmed,0.010019000
P-256/SHA-256,1000,0.000052000,512,5242880,,6,0.012903000,71,confirmed,0.034777000
Ed25519,1000,0.000037000,512,5341184,,6,0.017002000,64,confirmed,0.040718000
ML-DSA-44,1000,0.000066000,512,5570560,,6,0.249705000,2420,confirmed,0.070351000
ML-DSA-65,1000,0.000106000,512,5685248,,6,0.410676000,3309,confirmed,0.073759000
ML-DSA-87,1000,0.000122000,512,5799936,,6,0.466667000,4627,confirmed,0.116377000
RSA-2048/SHA-256,1000,0.013912000,512,4898816,,7,0.338719000,256,confirmed,0.009916000
P-256/SHA-256,1000,0.000051000,512,5242880,,7,0.012942000,72,confirmed,0.034517000
Ed25519,1000,0.000032000,512,5341184,,7,0.017011000,64,confirmed,0.049322000
ML-DSA-44,1000,0.000106000,512,5521408,,7,0.233321000,2420,confirmed,0.049354000
ML-DSA-65,1000,0.000102000,512,5570560,,7,0.399330000,3309,confirmed,0.073791000
ML-DSA-87,1000,0.000124000,512,5636096,,7,0.481455000,4627,confirmed,0.116187000
RSA-2048/SHA-256,1000,0.017030000,512,4898816,,8,0.339471000,256,confirmed,0.009904000
P-256/SHA-256,1000,0.000053000,512,5242880,,8,0.012814000,71,confirmed,0.034545000
Ed25519,1000,0.000033000,512,5341184,,8,0.016855000,64,confirmed,0.040835000
ML-DSA-44,1000,0.000068000,512,5505024,,8,0.259449000,2420,confirmed,0.048413000
ML-DSA-65,1000,0.000103000,512,5570560,,8,0.401960000,3309,confirmed,0.074206000
ML-DSA-87,1000,0.000124000,512,5799936,,8,0.502285000,4627,confirmed,0.116525000
RSA-2048/SHA-256,1000,0.012898000,512,4898816,,9,0.339871000,256,confirmed,0.009938000
P-256/SHA-256,1000,0.000054000,512,5242880,,9,0.012935000,72,confirmed,0.034550000
Ed25519,1000,0.000034000,512,5341184,,9,0.017082000,64,confirmed,0.041204000
ML-DSA-44,1000,0.000068000,512,5586944,,9,0.255013000,2420,confirmed,0.048655000
ML-DSA-65,1000,0.000105000,512,5652480,,9,0.397656000,3309,confirmed,0.073985000
ML-DSA-87,1000,0.000126000,512,5799936,,9,0.466597000,4627,confirmed,0.116210000
RSA-2048/SHA-256,1000,0.031137000,512,4898816,,10,0.370739000,256,confirmed,0.009929000
P-256/SHA-256,1000,0.000055000,512,5242880,,10,0.012868000,71,confirmed,0.034641000
Ed25519,1000,0.000034000,512,5341184,,10,0.017208000,64,confirmed,0.041621000
ML-DSA-44,1000,0.000074000,512,5586944,,10,0.249717000,2420,confirmed,0.054904000
ML-DSA-65,1000,0.000117000,512,5685248,,10,0.416766000,3309,confirmed,0.076054000
ML-DSA-87,1000,0.000132000,512,5783552,,10,0.466910000,4627,confirmed,0.117255000
RSA-2048/SHA-256,1000,0.018224000,2048,4866048,,1,0.338995000,256,confirmed,0.010453000
P-256/SHA-256,1000,0.000053000,2048,5210112,,1,0.013280000,71,confirmed,0.035067000
Ed25519,1000,0.000033000,2048,5308416,,1,0.019173000,64,confirmed,0.042339000
ML-DSA-44,1000,0.000083000,2048,5472256,,1,0.250365000,2420,confirmed,0.049742000
ML-DSA-65,1000,0.000098000,2048,5668864,,1,0.390752000,3309,confirmed,0.075247000
ML-DSA-87,1000,0.000130000,2048,5783552,,1,0.488890000,4627,confirmed,0.119025000
RSA-2048/SHA-256,1000,0.066088000,2048,4866048,,2,0.340244000,256,confirmed,0.010463000
P-256/SHA-256,1000,0.000055000,2048,5210112,,2,0.013305000,71,confirmed,0.034912000
Ed25519,1000,0.000033000,2048,5308416,,2,0.018782000,64,confirmed,0.041685000
ML-DSA-44,1000,0.000073000,2048,5472256,,2,0.244497000,2420,confirmed,0.049734000
ML-DSA-65,1000,0.000098000,2048,5554176,,2,0.391318000,3309,confirmed,0.075281000
ML-DSA-87,1000,0.000130000,2048,5783552,,2,0.475694000,4627,confirmed,0.117986000
RSA-2048/SHA-256,1000,0.034462000,2048,4931584,,3,0.339202000,256,confirmed,0.010509000
P-256/SHA-256,1000,0.000053000,2048,5275648,,3,0.013327000,70,confirmed,0.034873000
Ed25519,1000,0.000029000,2048,5373952,,3,0.019024000,64,confirmed,0.041213000
ML-DSA-44,1000,0.000068000,2048,5537792,,3,0.253070000,2420,confirmed,0.050304000
ML-DSA-65,1000,0.000096000,2048,5603328,,3,0.403230000,3309,confirmed,0.075124000
ML-DSA-87,1000,0.000121000,2048,5668864,,3,0.472651000,4627,confirmed,0.117997000
RSA-2048/SHA-256,1000,0.015054000,2048,4866048,,4,0.339990000,256,confirmed,0.010733000
P-256/SHA-256,1000,0.000057000,2048,5210112,,4,0.013765000,72,confirmed,0.035438000
Ed25519,1000,0.000039000,2048,5308416,,4,0.019102000,64,confirmed,0.041673000
ML-DSA-44,1000,0.000066000,2048,5554176,,4,0.257535000,2420,confirmed,0.049818000
ML-DSA-65,1000,0.000105000,2048,5636096,,4,0.409979000,3309,confirmed,0.075153000
ML-DSA-87,1000,0.000129000,2048,5734400,,4,0.457861000,4627,confirmed,0.126332000
RSA-2048/SHA-256,1000,0.029301000,2048,4866048,,5,0.340238000,256,confirmed,0.010397000
P-256/SHA-256,1000,0.000054000,2048,5210112,,5,0.013339000,71,confirmed,0.035135000
Ed25519,1000,0.000036000,2048,5308416,,5,0.019065000,64,confirmed,0.041889000
ML-DSA-44,1000,0.000073000,2048,5472256,,5,0.251534000,2420,confirmed,0.049726000
